Region,Year,Month,Day,Thermal Generation Actual (in MU),Hydro Generation Actual (in MU)
Southern,2018,1,20,636.85,70.04
Eastern,2018,1,20,484.15,21.76
NorthEastern,2018,1,20,31.88,11.28
Northern,2018,1,21,619.13,96.18
Western,2018,1,21,1125.62,41.22
Southern,2018,1,21,636.85,70.04
Eastern,2018,1,21,484.15,21.76
NorthEastern,2018,1,21,31.88,11.28
Northern,2018,1,22,619.13,96.18
Western,2018,1,22,1125.62,41.22
Southern,2018,1,22,638.65,70.04
Eastern,2018,1,22,486.42,21.76
NorthEastern,2018,1,22,31.88,11.28
Northern,2018,1,23,616.44,96.18
Western,2018,1,23,1125.62,41.22
Southern,2018,1,23,638.65,70.04
Eastern,2018,1,23,486.42,21.76
NorthEastern,2018,1,23,31.88,11.28
Northern,2018,1,24,616.44,96.18
Western,2018,1,24,1125.62,41.22
Southern,2018,1,24,636.46,70.04
Eastern,2018,1,24,486.42,21.76
NorthEastern,2018,1,24,31.88,11.28
Northern,2018,1,25,613.98,96.18
Western,2018,1,25,1119.83,41.22
Southern,2018,1,25,636.46,70.04
Eastern,2018,1,25,486.42,21.76
NorthEastern,2018,1,25,31.88,11.28
Northern,2018,1,26,619.27,96.18
Western,2018,1,26,1123.66,41.22
Southern,2018,1,26,636.46,70.04
Eastern,2018,1,26,486.42,21.76
NorthEastern,2018,1,26,31.88,11.28
Northern,2018,1,27,619.27,96.18
Western,2018,1,27,1127.26,41.22
Southern,2018,1,27,636.46,70.04
Eastern,2018,1,27,483.54,21.76
NorthEastern,2018,1,27,31.88,11.28
Northern,2018,1,28,622.18,96.18
Western,2018,1,28,1127.26,41.22
Southern,2018,1,28,636.46,70.04
Eastern,2018,1,28,483.54,21.76
NorthEastern,2018,1,28,31.88,11.28
Northern,2018,1,29,622.18,96.18
Western,2018,1,29,1127.26,41.22
Southern,2018,1,29,640.29,70.04
Eastern,2018,1,29,483.54,21.76
NorthEastern,2018,1,29,31.88,11.28
Northern,2018,1,30,622.18,96.18
Western,2018,1,30,1127.26,41.22
Southern,2018,1,30,640.29,70.04
Eastern,2018,1,30,483.54,21.76
NorthEastern,2018,1,30,31.88,11.28
Northern,2018,1,31,626.18,96.18
Western,2018,1,31,1127.26,41.22
Southern,2018,1,31,640.29,70.04
Eastern,2018,1,31,483.54,21.76
NorthEastern,2018,1,31,31.88,11.28
Northern,2018,2,1,611.46,109.45
Western,2018,2,1,1143.81,40.94
Southern,2018,2,1,642.31,82.8
Eastern,2018,2,1,489.39,25.1
NorthEastern,2018,2,1,31.93,10.24
Northern,2018,2,2,611.46,109.45
Western,2018,2,2,1143.81,40.94
Southern,2018,2,2,642.31,82.8
Eastern,2018,2,2,489.39,25.1
NorthEastern,2018,2,2,31.93,10.24
Northern,2018,2,3,611.46,109.45
Western,2018,2,3,1149.12,40.94
Southern,2018,2,3,642.31,82.8
Eastern,2018,2,3,485.39,25.1
NorthEastern,2018,2,3,31.93,10.24
Northern,2018,2,4,611.46,109.45
Western,2018,2,4,1149.12,40.94
Southern,2018,2,4,642.31,82.8
Eastern,2018,2,4,485.39,25.1
NorthEastern,2018,2,4,31.93,10.24
Northern,2018,2,5,611.46,109.45
Western,2018,2,5,1149.12,40.94
Southern,2018,2,5,642.31,82.8
Eastern,2018,2,5,485.39,25.1
NorthEastern,2018,2,5,31.93,10.24
Northern,2018,2,6,614.11,109.45
Western,2018,2,6,1149.12,40.94
Southern,2018,2,6,643.74,82.8
Eastern,2018,2,6,488.0,25.1
NorthEastern,2018,2,6,31.93,10.24
Northern,2018,2,7,614.11,109.45
Western,2018,2,7,1149.12,40.94
Southern,2018,2,7,643.74,82.8
Eastern,2018,2,7,488.0,25.1
NorthEastern,2018,2,7,31.93,10.24
Northern,2018,2,8,614.11,109.45
Western,2018,2,8,1149.12,40.94
Southern,2018,2,8,643.74,82.8
Eastern,2018,2,8,488.0,25.1
NorthEastern,2018,2,8,31.93,10.24
Northern,2018,2,9,614.11,109.45
Western,2018,2,9,1167.72,40.94
Southern,2018,2,9,643.74,82.8
Eastern,2018,2,9,488.0,25.1
NorthEastern,2018,2,9,31.93,10.24
Northern,2018,2,10,614.11,109.45
Western,2018,2,10,1167.72,40.94
Southern,2018,2,10,643.74,82.8
Eastern,2018,2,10,488.0,25.1
NorthEastern,2018,2,10,31.93,10.24
Northern,2018,2,11,610.71,109.45
Western,2018,2,11,1167.72,40.94
Southern,2018,2,11,643.74,82.8
Eastern,2018,2,11,488.0,25.1
NorthEastern,2018,2,11,31.93,10.24
Northern,2018,2,12,608.21,109.45
Western,2018,2,12,1167.72,40.94
Southern,2018,2,12,643.74,82.8
Eastern,2018,2,12,488.0,25.1
NorthEastern,2018,2,12,31.93,10.24
Northern,2018,2,13,608.21,109.45
Western,2018,2,13,1167.72,40.94
Southern,2018,2,13,643.74,82.8
Eastern,2018,2,13,488.0,25.1
NorthEastern,2018,2,13,31.93,10.24
Northern,2018,2,14,608.21,109.45
Western,2018,2,14,1167.72,40.94
Southern,2018,2,14,643.74,82.8
Eastern,2018,2,14,488.0,25.1
NorthEastern,2018,2,14,31.93,10.24
Northern,2018,2,15,616.21,109.45
Western,2018,2,15,1166.32,40.94
Southern,2018,2,15,643.74,82.8
Eastern,2018,2,15,488.0,25.1
NorthEastern,2018,2,15,31.93,10.24
Northern,2018,2,16,616.21,109.45
Western,2018,2,16,1166.32,40.94
Southern,2018,2,16,643.74,82.8
Eastern,2018,2,16,490.85,25.1
NorthEastern,2018,2,16,31.93,10.24
Northern,2018,2,17,616.21,109.45
Western,2018,2,17,1166.32,40.94
Southern,2018,2,17,643.74,82.8
Eastern,2018,2,17,490.85,25.1
NorthEastern,2018,2,17,31.93,10.24
Northern,2018,2,18,616.21,109.45
Western,2018,2,18,1166.32,40.94
Southern,2018,2,18,650.74,82.8
Eastern,2018,2,18,490.85,25.1
NorthEastern,2018,2,18,31.93,10.24
Northern,2018,2,19,626.01,109.45
Western,2018,2,19,1166.32,40.94
Southern,2018,2,19,650.74,82.8
Eastern,2018,2,19,490.85,25.1
NorthEastern,2018,2,19,31.93,10.24
Northern,2018,2,20,620.85,109.45
Western,2018,2,20,1166.32,40.94
Southern,2018,2,20,650.74,82.8
Eastern,2018,2,20,490.85,25.1
NorthEastern,2018,2,20,31.93,10.24
Northern,2018,2,21,630.85,109.45
Western,2018,2,21,1166.32,40.94
Southern,2018,2,21,650.74,82.8
Eastern,2018,2,21,490.85,25.1
NorthEastern,2018,2,21,31.93,10.24
Northern,2018,2,22,633.56,109.45
Western,2018,2,22,1168.03,40.94
Southern,2018,2,22,650.74,82.8
Eastern,2018,2,22,490.85,25.1
NorthEastern,2018,2,22,31.93,10.24
Northern,2018,2,23,633.56,109.45
Western,2018,2,23,1169.43,40.94
Southern,2018,2,23,650.74,82.8
Eastern,2018,2,23,490.85,25.1
NorthEastern,2018,2,23,31.93,10.24
Northern,2018,2,24,633.56,109.45
Western,2018,2,24,1169.43,40.94
Southern,2018,2,24,650.74,82.8
Eastern,2018,2,24,490.85,25.1
NorthEastern,2018,2,24,31.93,10.24
Northern,2018,2,25,632.89,109.45
Western,2018,2,25,1169.43,40.94
Southern,2018,2,25,650.74,82.8
Eastern,2018,2,25,490.85,25.1
NorthEastern,2018,2,25,31.93,10.24
Northern,2018,2,26,632.25,109.45
Western,2018,2,26,1169.43,40.94
Southern,2018,2,26,650.74,82.8
Eastern,2018,2,26,490.85,25.1
NorthEastern,2018,2,26,31.93,10.24
Northern,2018,2,27,632.25,109.45
Western,2018,2,27,1169.43,40.94
Southern,2018,2,27,650.74,82.8
Eastern,2018,2,27,495.35,25.1
NorthEastern,2018,2,27,31.93,10.24
Northern,2018,2,28,634.75,109.45
Western,2018,2,28,1169.43,40.94
Southern,2018,2,28,650.74,82.8
Eastern,2018,2,28,499.35,25.1
NorthEastern,2018,2,28,31.93,10.24
Northern,2018,3,1,635.26,134.13
Western,2018,3,1,1175.98,38.1
Southern,2018,3,1,649.52,88.22
Eastern,2018,3,1,505.24,30.16
NorthEastern,2018,3,1,31.96,12.16
Northern,2018,3,2,635.26,134.13
Western,2018,3,2,1175.98,38.1
Southern,2018,3,2,649.52,88.22
Eastern,2018,3,2,505.24,30.16
NorthEastern,2018,3,2,31.96,12.16
Northern,2018,3,3,637.13,134.13
Western,2018,3,3,1175.98,38.1
Southern,2018,3,3,649.52,88.22
Eastern,2018,3,3,505.24,30.16
NorthEastern,2018,3,3,31.96,12.16
Northern,2018,3,4,637.13,134.13
Western,2018,3,4,1175.98,38.1
Southern,2018,3,4,649.52,88.22
Eastern,2018,3,4,505.24,30.16
NorthEastern,2018,3,4,31.96,12.16
Northern,2018,3,5,636.48,134.13
Western,2018,3,5,1175.98,38.1
Southern,2018,3,5,649.52,88.22
Eastern,2018,3,5,501.14,30.16
NorthEastern,2018,3,5,31.96,12.16
Northern,2018,3,6,635.83,134.13
Western,2018,3,6,1175.98,38.1
Southern,2018,3,6,649.52,88.22
Eastern,2018,3,6,501.14,30.16
NorthEastern,2018,3,6,31.96,12.16
Northern,2018,3,7,632.55,134.13
Western,2018,3,7,1175.98,38.1
Southern,2018,3,7,649.52,88.22
Eastern,2018,3,7,501.14,30.16
NorthEastern,2018,3,7,31.96,12.16
Northern,2018,3,8,631.9,134.13
Western,2018,3,8,1175.98,38.1
Southern,2018,3,8,649.52,88.22
Eastern,2018,3,8,501.14,30.16
NorthEastern,2018,3,8,31.96,12.16
Northern,2018,3,9,631.9,134.13
Western,2018,3,9,1175.98,38.1
Southern,2018,3,9,649.52,88.22
Eastern,2018,3,9,501.14,30.16
NorthEastern,2018,3,9,31.96,12.16
Northern,2018,3,10,631.9,134.13
Western,2018,3,10,1175.98,38.1
Southern,2018,3,10,649.52,88.22
Eastern,2018,3,10,501.14,30.16
NorthEastern,2018,3,10,31.96,12.16
Northern,2018,3,11,635.05,134.13
Western,2018,3,11,1175.98,38.1
Southern,2018,3,11,649.52,88.22
Eastern,2018,3,11,501.14,30.16
NorthEastern,2018,3,11,31.96,12.16
Northern,2018,3,12,635.75,134.13
Western,2018,3,12,1175.98,38.1
Southern,2018,3,12,649.52,88.22
Eastern,2018,3,12,501.14,30.16
NorthEastern,2018,3,12,31.96,12.16
Northern,2018,3,13,628.85,134.13
Western,2018,3,13,1175.98,38.1
Southern,2018,3,13,649.52,88.22
Eastern,2018,3,13,501.14,30.16
NorthEastern,2018,3,13,31.96,12.16
Northern,2018,3,14,618.7,134.13
Western,2018,3,14,1175.98,38.1
Southern,2018,3,14,649.52,88.22
Eastern,2018,3,14,501.14,30.16
NorthEastern,2018,3,14,31.96,12.16
Northern,2018,3,15,618.09,134.13
Western,2018,3,15,1175.98,38.1
Southern,2018,3,15,649.52,88.22
Eastern,2018,3,15,501.14,30.16
NorthEastern,2018,3,15,31.96,12.16
Northern,2018,3,16,617.44,134.13
Western,2018,3,16,1175.98,38.1
Southern,2018,3,16,649.52,88.22
Eastern,2018,3,16,501.14,30.16
NorthEastern,2018,3,16,31.96,12.16
Northern,2018,3,17,618.09,134.13
Western,2018,3,17,1175.98,38.1
Southern,2018,3,17,649.52,88.22
Eastern,2018,3,17,501.14,30.16
NorthEastern,2018,3,17,31.96,12.16
Northern,2018,3,18,618.09,134.13
Western,2018,3,18,1175.98,38.1
Southern,2018,3,18,649.52,88.22
Eastern,2018,3,18,501.14,30.16
NorthEastern,2018,3,18,31.96,12.16
Northern,2018,3,19,618.74,134.13
Western,2018,3,19,1175.98,38.1
Southern,2018,3,19,649.52,88.22
Eastern,2018,3,19,501.14,30.16
NorthEastern,2018,3,19,31.96,12.16
Northern,2018,3,20,619.39,134.13
Western,2018,3,20,1175.98,38.1
Southern,2018,3,20,649.52,88.22
Eastern,2018,3,20,501.14,30.16
NorthEastern,2018,3,20,31.96,12.16
Northern,2018,3,21,623.37,134.13
Western,2018,3,21,1175.98,38.1
Southern,2018,3,21,649.52,88.22
Eastern,2018,3,21,501.14,30.16
NorthEastern,2018,3,21,31.96,12.16
Northern,2018,3,22,624.02,134.13
Western,2018,3,22,1179.18,38.1
Southern,2018,3,22,649.52,88.22
Eastern,2018,3,22,501.14,30.16
NorthEastern,2018,3,22,31.96,12.16
Northern,2018,3,23,624.02,134.13
Western,2018,3,23,1179.18,38.1
Southern,2018,3,23,649.52,88.22
Eastern,2018,3,23,501.14,30.16
NorthEastern,2018,3,23,31.96,12.16
Northern,2018,3,24,624.02,134.13
Western,2018,3,24,1179.18,38.1
Southern,2018,3,24,649.52,88.22
Eastern,2018,3,24,501.14,30.16
NorthEastern,2018,3,24,31.96,12.16
Northern,2018,3,25,624.02,134.13
Western,2018,3,25,1179.18,38.1
Southern,2018,3,25,649.52,88.22
Eastern,2018,3,25,501.14,30.16
NorthEastern,2018,3,25,31.96,12.16
Northern,2018,3,26,624.02,134.13
Western,2018,3,26,1179.18,38.1
Southern,2018,3,26,649.52,88.22
Eastern,2018,3,26,505.24,30.16
NorthEastern,2018,3,26,31.96,12.16
Northern,2018,3,27,624.67,134.13
Western,2018,3,27,1179.18,38.1
Southern,2018,3,27,649.52,88.22
Eastern,2018,3,27,505.24,30.16
NorthEastern,2018,3,27,31.96,12.16
Northern,2018,3,28,624.67,134.13
Western,2018,3,28,1179.18,38.1
Southern,2018,3,28,649.52,88.22
Eastern,2018,3,28,505.24,30.16
NorthEastern,2018,3,28,31.96,12.16
Northern,2018,3,29,625.32,134.13
Western,2018,3,29,1179.18,38.1
Southern,2018,3,29,649.52,88.22
Eastern,2018,3,29,505.24,30.16
NorthEastern,2018,3,29,31.96,12.16
Northern,2018,3,30,625.97,134.13
Western,2018,3,30,1179.18,38.1
Southern,2018,3,30,649.52,88.22
Eastern,2018,3,30,505.24,30.16
NorthEastern,2018,3,30,31.96,12.16
Northern,2018,3,31,628.5,134.13
Western,2018,3,31,1179.18,38.1
Southern,2018,3,31,649.52,88.22
Eastern,2018,3,31,505.24,30.16
NorthEastern,2018,3,31,31.96,12.16
Northern,2018,4,1,657.76,154.72
Western,2018,4,1,1230.81,24.4
Southern,2018,4,1,650.59,62.88
Eastern,2018,4,1,471.76,39.12
NorthEastern,2018,4,1,30.25,7.43
Northern,2018,4,2,657.76,154.72
Western,2018,4,2,1230.81,24.4
Southern,2018,4,2,650.59,62.88
Eastern,2018,4,2,471.76,39.12
NorthEastern,2018,4,2,30.25,7.43
Northern,2018,4,3,682.27,154.72
Western,2018,4,3,1230.81,24.4
Southern,2018,4,3,650.59,62.88
Eastern,2018,4,3,471.76,39.12
NorthEastern,2018,4,3,30.25,7.43
Northern,2018,4,4,682.27,154.72
Western,2018,4,4,1230.81,24.4
Southern,2018,4,4,650.59,62.88
Eastern,2018,4,4,471.76,39.12
NorthEastern,2018,4,4,30.25,7.43
Northern,2018,4,5,638.68,154.72
Western,2018,4,5,1228.4,24.4
Southern,2018,4,5,643.73,62.88
Eastern,2018,4,5,464.13,39.12
NorthEastern,2018,4,5,30.25,7.43
Northern,2018,4,6,640.97,154.72
Western,2018,4,6,1230.81,24.4
Southern,2018,4,6,650.59,62.88
Eastern,2018,4,6,457.96,39.12
NorthEastern,2018,4,6,30.25,7.43
Northern,2018,4,7,640.97,154.72
Western,2018,4,7,1230.81,24.4
Southern,2018,4,7,650.59,62.88
Eastern,2018,4,7,457.96,39.12
NorthEastern,2018,4,7,30.25,7.43
Northern,2018,4,8,640.97,154.72
Western,2018,4,8,1230.81,24.4
Southern,2018,4,8,650.59,62.88
Eastern,2018,4,8,457.96,39.12
NorthEastern,2018,4,8,30.25,7.43
Northern,2018,4,9,640.97,154.72
Western,2018,4,9,1230.81,24.4
Southern,2018,4,9,650.59,62.88
Eastern,2018,4,9,457.96,39.12
NorthEastern,2018,4,9,30.25,7.43
Northern,2018,4,10,635.21,154.72
Western,2018,4,10,1230.81,24.4
Southern,2018,4,10,650.59,62.88
Eastern,2018,4,10,457.96,39.12
NorthEastern,2018,4,10,30.25,7.43
Northern,2018,4,11,637.57,154.72
Western,2018,4,11,1230.81,24.4
Southern,2018,4,11,650.59,62.88
Eastern,2018,4,11,457.96,39.12
NorthEastern,2018,4,11,30.25,7.43
Northern,2018,4,12,635.07,154.72
Western,2018,4,12,1230.81,24.4
Southern,2018,4,12,650.59,62.88
Eastern,2018,4,12,457.96,39.12
NorthEastern,2018,4,12,30.25,7.43
Northern,2018,4,13,635.07,154.72
Western,2018,4,13,1228.03,24.4
Southern,2018,4,13,650.59,62.88
Eastern,2018,4,13,457.96,39.12
NorthEastern,2018,4,13,30.25,7.43
Northern,2018,4,14,634.85,154.72
Western,2018,4,14,1221.34,24.4
Southern,2018,4,14,650.59,62.88
Eastern,2018,4,14,457.96,39.12
NorthEastern,2018,4,14,30.25,7.43
Northern,2018,4,15,633.45,154.72
Western,2018,4,15,1221.34,24.4
Southern,2018,4,15,650.59,62.88
Eastern,2018,4,15,466.34,39.12
NorthEastern,2018,4,15,30.25,7.43
Northern,2018,4,16,633.45,154.72
Western,2018,4,16,1219.34,24.4
Southern,2018,4,16,641.19,62.88
Eastern,2018,4,16,466.34,39.12
NorthEastern,2018,4,16,30.25,7.43
Northern,2018,4,17,633.45,154.72
Western,2018,4,17,1219.34,24.4
Southern,2018,4,17,636.56,62.88
Eastern,2018,4,17,466.34,39.12
NorthEastern,2018,4,17,30.25,7.43
Northern,2018,4,18,631.21,154.72
Western,2018,4,18,1219.34,24.4
Southern,2018,4,18,636.56,62.88
Eastern,2018,4,18,466.34,39.12
NorthEastern,2018,4,18,30.25,7.43
Northern,2018,4,19,631.21,154.72
Western,2018,4,19,1219.34,24.4
Southern,2018,4,19,636.56,62.88
Eastern,2018,4,19,466.34,39.12
NorthEastern,2018,4,19,30.25,7.43
Northern,2018,4,20,633.71,154.72
Western,2018,4,20,1222.12,24.4
Southern,2018,4,20,636.56,62.88
Eastern,2018,4,20,466.34,39.12
NorthEastern,2018,4,20,30.25,7.43
Northern,2018,4,21,633.23,154.72
Western,2018,4,21,1227.92,24.4
Southern,2018,4,21,636.56,62.88
Eastern,2018,4,21,466.34,39.12
NorthEastern,2018,4,21,30.25,7.43
Northern,2018,4,22,633.23,154.72
Western,2018,4,22,1227.92,24.4
Southern,2018,4,22,636.56,62.88
Eastern,2018,4,22,466.34,39.12
NorthEastern,2018,4,22,30.25,7.43
Northern,2018,4,23,633.23,154.72
Western,2018,4,23,1227.92,24.4
Southern,2018,4,23,636.56,62.88
Eastern,2018,4,23,466.34,39.12
NorthEastern,2018,4,23,30.25,7.43
Northern,2018,4,24,633.23,154.72
Western,2018,4,24,1227.92,24.4
Southern,2018,4,24,636.56,62.88
Eastern,2018,4,24,465.25,39.12
NorthEastern,2018,4,24,30.25,7.43
Northern,2018,4,25,633.23,154.72
Western,2018,4,25,1227.92,24.4
Southern,2018,4,25,636.56,62.88
Eastern,2018,4,25,465.25,39.12
NorthEastern,2018,4,25,30.25,7.43
Northern,2018,4,26,633.23,154.72
Western,2018,4,26,1233.32,24.4
Southern,2018,4,26,636.56,62.88
Eastern,2018,4,26,465.25,39.12
NorthEastern,2018,4,26,30.25,7.43
Northern,2018,4,27,633.23,154.72
Western,2018,4,27,1233.32,24.4
Southern,2018,4,27,636.56,62.88
Eastern,2018,4,27,465.25,39.12
NorthEastern,2018,4,27,30.25,7.43
Northern,2018,4,28,630.56,154.72
Western,2018,4,28,1235.32,24.4
Southern,2018,4,28,636.56,62.88
Eastern,2018,4,28,465.25,39.12
NorthEastern,2018,4,28,30.25,7.43
Northern,2018,4,29,633.06,154.72
Western,2018,4,29,1235.32,24.4
Southern,2018,4,29,636.56,62.88
Eastern,2018,4,29,465.25,39.12
NorthEastern,2018,4,29,30.25,7.43
Northern,2018,4,30,636.39,154.72
Western,2018,4,30,1235.32,24.4
Southern,2018,4,30,636.56,62.88
Eastern,2018,4,30,469.05,39.12
NorthEastern,2018,4,30,30.25,7.43
Northern,2018,5,1,628.57,244.89
Western,2018,5,1,1217.35,23.41
Southern,2018,5,1,631.61,52.96
Eastern,2018,5,1,469.21,46.26
NorthEastern,2018,5,1,30.13,13.75
Northern,2018,5,2,628.57,244.89
Western,2018,5,2,1216.67,23.41
Southern,2018,5,2,631.61,52.96
Eastern,2018,5,2,469.21,46.26
NorthEastern,2018,5,2,30.13,13.75
Northern,2018,5,3,628.57,244.89
Western,2018,5,3,1217.84,23.41
Southern,2018,5,3,631.61,52.96
Eastern,2018,5,3,469.21,46.26
NorthEastern,2018,5,3,30.13,13.75
Northern,2018,5,4,628.57,244.89
Western,2018,5,4,1217.84,23.41
Southern,2018,5,4,631.61,52.96
Eastern,2018,5,4,469.21,46.26
NorthEastern,2018,5,4,30.13,13.75
Northern,2018,5,5,628.94,244.89
Western,2018,5,5,1217.52,23.41
Southern,2018,5,5,631.61,52.96
Eastern,2018,5,5,469.21,46.26
NorthEastern,2018,5,5,30.13,13.75
Northern,2018,5,6,629.44,244.89
Western,2018,5,6,1221.1,23.41
Southern,2018,5,6,631.61,52.96
Eastern,2018,5,6,469.21,46.26
NorthEastern,2018,5,6,30.13,13.75
Northern,2018,5,7,629.44,244.89
Western,2018,5,7,1221.1,23.41
Southern,2018,5,7,631.61,52.96
Eastern,2018,5,7,469.21,46.26
NorthEastern,2018,5,7,30.13,13.75
Northern,2018,5,8,629.44,244.89
Western,2018,5,8,1221.1,23.41
Southern,2018,5,8,631.61,52.96
Eastern,2018,5,8,469.21,46.26
NorthEastern,2018,5,8,30.13,13.75
Northern,2018,5,9,629.28,244.89
Western,2018,5,9,1223.75,23.41
Southern,2018,5,9,631.61,52.96
Eastern,2018,5,9,470.3,46.26
NorthEastern,2018,5,9,30.13,13.75
Northern,2018,5,10,632.08,244.89
Western,2018,5,10,1223.75,23.41
Southern,2018,5,10,631.61,52.96
Eastern,2018,5,10,470.3,46.26
NorthEastern,2018,5,10,30.13,13.75
Northern,2018,5,11,632.92,244.89
Western,2018,5,11,1217.95,23.41
Southern,2018,5,11,641.09,52.96
Eastern,2018,5,11,470.3,46.26
NorthEastern,2018,5,11,30.13,13.75
Northern,2018,5,12,632.92,244.89
Western,2018,5,12,1217.95,23.41
Southern,2018,5,12,641.09,52.96
Eastern,2018,5,12,470.3,46.26
NorthEastern,2018,5,12,30.13,13.75
Northern,2018,5,13,632.92,244.89
Western,2018,5,13,1217.95,23.41
Southern,2018,5,13,641.09,52.96
Eastern,2018,5,13,470.3,46.26
NorthEastern,2018,5,13,30.13,13.75
Northern,2018,5,14,632.92,244.89
Western,2018,5,14,1217.95,23.41
Southern,2018,5,14,641.09,52.96
Eastern,2018,5,14,470.3,46.26
NorthEastern,2018,5,14,30.13,13.75
Northern,2018,5,15,636.36,244.89
Western,2018,5,15,1211.95,23.41
Southern,2018,5,15,641.09,52.96
Eastern,2018,5,15,466.59,46.26
NorthEastern,2018,5,15,30.13,13.75
Northern,2018,5,16,645.24,244.89
Western,2018,5,16,1223.2,23.41
Southern,2018,5,16,641.09,52.96
Eastern,2018,5,16,466.59,46.26
NorthEastern,2018,5,16,30.13,13.75
Northern,2018,5,17,645.24,244.89
Western,2018,5,17,1223.2,23.41
Southern,2018,5,17,641.09,52.96
Eastern,2018,5,17,466.59,46.26
NorthEastern,2018,5,17,30.13,13.75
Northern,2018,5,18,647.45,244.89
Western,2018,5,18,1223.2,23.41
Southern,2018,5,18,641.09,52.96
Eastern,2018,5,18,466.59,46.26
NorthEastern,2018,5,18,30.13,13.75
Northern,2018,5,19,649.43,244.89
Western,2018,5,19,1223.2,23.41
Southern,2018,5,19,641.09,52.96
Eastern,2018,5,19,466.59,46.26
NorthEastern,2018,5,19,30.13,13.75
Northern,2018,5,20,646.95,244.89
Western,2018,5,20,1223.2,23.41
Southern,2018,5,20,641.09,52.96
Eastern,2018,5,20,476.59,46.26
NorthEastern,2018,5,20,30.13,13.75
Northern,2018,5,21,646.95,244.89
Western,2018,5,21,1220.65,23.41
Southern,2018,5,21,641.09,52.96
Eastern,2018,5,21,476.59,46.26
NorthEastern,2018,5,21,30.13,13.75
Northern,2018,5,22,646.95,244.89
Western,2018,5,22,1223.44,23.41
Southern,2018,5,22,637.09,52.96
Eastern,2018,5,22,476.59,46.26
NorthEastern,2018,5,22,30.13,13.75
Northern,2018,5,23,647.32,244.89
Western,2018,5,23,1223.44,23.41
Southern,2018,5,23,637.09,52.96
Eastern,2018,5,23,476.59,46.26
NorthEastern,2018,5,23,30.13,13.75
Northern,2018,5,24,647.32,244.89
Western,2018,5,24,1223.44,23.41
Southern,2018,5,24,632.48,52.96
Eastern,2018,5,24,476.59,46.26
NorthEastern,2018,5,24,30.13,13.75
Northern,2018,5,25,647.32,244.89
Western,2018,5,25,1206.19,23.41
Southern,2018,5,25,632.48,52.96
Eastern,2018,5,25,476.59,46.26
NorthEastern,2018,5,25,30.13,13.75
Northern,2018,5,26,647.32,244.89
Western,2018,5,26,1211.36,23.41
Southern,2018,5,26,632.48,52.96
Eastern,2018,5,26,476.59,46.26
NorthEastern,2018,5,26,30.13,13.75
Northern,2018,5,27,647.32,244.89
Western,2018,5,27,1211.36,23.41
Southern,2018,5,27,637.08,52.96
Eastern,2018,5,27,476.59,46.26
NorthEastern,2018,5,27,30.13,13.75
Northern,2018,5,28,648.94,244.89
Western,2018,5,28,1211.36,23.41
Southern,2018,5,28,637.08,52.96
Eastern,2018,5,28,476.59,46.26
NorthEastern,2018,5,28,30.13,13.75
Northern,2018,5,29,648.94,244.89
Western,2018,5,29,1211.36,23.41
Southern,2018,5,29,637.08,52.96
Eastern,2018,5,29,476.59,46.26
NorthEastern,2018,5,29,30.13,13.75
Northern,2018,5,30,649.8,244.89
Western,2018,5,30,1211.36,23.41
Southern,2018,5,30,637.08,52.96
Eastern,2018,5,30,476.59,46.26
NorthEastern,2018,5,30,30.13,13.75
Northern,2018,5,31,649.8,244.89
Western,2018,5,31,1211.36,23.41
Southern,2018,5,31,637.08,52.96
Eastern,2018,5,31,476.59,46.26
NorthEastern,2018,5,31,30.13,13.75
Northern,2018,6,1,649.77,303.99
Western,2018,6,1,1156.93,16.99
Southern,2018,6,1,600.53,38.45
Eastern,2018,6,1,469.15,53.41
NorthEastern,2018,6,1,30.25,21.71
Northern,2018,6,2,647.41,303.99
Western,2018,6,2,1156.93,16.99
Southern,2018,6,2,600.53,38.45
Eastern,2018,6,2,469.15,53.41
NorthEastern,2018,6,2,30.25,21.71
Northern,2018,6,3,647.41,303.99
Western,2018,6,3,1156.93,16.99
Southern,2018,6,3,600.53,38.45
Eastern,2018,6,3,469.15,53.41
NorthEastern,2018,6,3,30.25,21.71
Northern,2018,6,4,651.38,303.99
Western,2018,6,4,1156.67,16.99
Southern,2018,6,4,600.53,38.45
Eastern,2018,6,4,469.15,53.41
NorthEastern,2018,6,4,30.25,21.71
Northern,2018,6,5,651.38,303.99
Western,2018,6,5,1156.67,16.99
Southern,2018,6,5,600.53,38.45
Eastern,2018,6,5,469.15,53.41
NorthEastern,2018,6,5,30.25,21.71
Northern,2018,6,6,651.38,303.99
Western,2018,6,6,1166.67,16.99
Southern,2018,6,6,604.53,38.45
Eastern,2018,6,6,469.15,53.41
NorthEastern,2018,6,6,30.25,21.71
Northern,2018,6,7,663.59,303.99
Western,2018,6,7,1162.17,16.99
Southern,2018,6,7,604.53,38.45
Eastern,2018,6,7,469.15,53.41
NorthEastern,2018,6,7,30.25,21.71
Northern,2018,6,8,663.59,303.99
Western,2018,6,8,1162.17,16.99
Southern,2018,6,8,604.53,38.45
Eastern,2018,6,8,469.15,53.41
NorthEastern,2018,6,8,30.25,21.71
Northern,2018,6,9,663.59,303.99
Western,2018,6,9,1165.4,16.99
Southern,2018,6,9,604.53,38.45
Eastern,2018,6,9,472.92,53.41
NorthEastern,2018,6,9,30.25,21.71
Northern,2018,6,10,671.9,303.99
